127.0.0.1 - - [05/Jan/2018:16:07:47 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:07:55 -0700] "GET /MVCProject/ HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:07:56 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:02 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:02 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:55 -0700] "GET /MVCProject/ HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:56 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:56 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:56 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:56 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:57 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:57 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:08:57 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:10:18 -0700] "GET /MVCProject/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:10:18 -0700] "GET /MVCProject/app/appModule/wordCounter/word.component.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:10:18 -0700] "GET /MVCProject/app/appModule/word.service.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:10:18 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
